x1,x2,y
4.813059762079283210e+00,2.358487063669568951e+00,1.000000000000000000e+00
-2.177934191649186335e+00,9.989831255320680725e+00,0.000000000000000000e+00
-3.317691225945937905e+00,8.512529084613785102e+00,0.000000000000000000e+00
-2.300334028047994916e+00,7.054616004318545741e+00,0.000000000000000000e+00
-1.770731043057339749e+00,9.185654409388291697e+00,0.000000000000000000e+00
5.453396053597771242e+00,7.423053675067767809e-01,1.000000000000000000e+00
3.665197166000779827e+00,2.760254287683184149e+00,1.000000000000000000e+00
5.113116460801646390e+00,1.900340771283859143e+00,1.000000000000000000e+00
4.394490720225230795e+00,1.219433519583242420e+00,1.000000000000000000e+00
-1.031303578311234093e+00,8.496015909924674148e+00,0.000000000000000000e+00
-2.545023662162701594e+00,1.057892978401232753e+01,0.000000000000000000e+00
-2.213077345988174294e+00,9.275341400378211532e+00,0.000000000000000000e+00
-3.615532597058778386e+00,7.818079504117650735e+00,0.000000000000000000e+00
3.448575339025452990e+00,2.629723292574561722e+00,1.000000000000000000e+00
4.652880728106008057e+00,3.426703761098048862e+00,1.000000000000000000e+00
-4.234115455565783392e+00,8.451998598957349174e+00,0.000000000000000000e+00
-2.972615315865212438e+00,8.548556374628065058e+00,0.000000000000000000e+00
4.997666196576384223e+00,2.533954210308966282e+00,1.000000000000000000e+00
-2.267235351486716066e+00,7.101005883540523200e+00,0.000000000000000000e+00
5.265546183993107476e+00,1.116012127524449449e+00,1.000000000000000000e+00
-2.412120073704709711e+00,9.982931118731210418e+00,0.000000000000000000e+00
4.897429226950865910e+00,1.898723768174564785e+00,1.000000000000000000e+00
3.750364406602578082e+00,1.157359398975293718e+00,1.000000000000000000e+00
-2.147561598005116146e+00,8.369166373593197150e+00,0.000000000000000000e+00
-2.422150554814578971e+00,8.715278777732454074e+00,0.000000000000000000e+00
4.416416050902250312e+00,2.687170178032824097e+00,1.000000000000000000e+00
-3.038957826819788988e+00,9.527553561311677299e+00,0.000000000000000000e+00
2.721107620929060111e+00,1.946655808491515094e+00,1.000000000000000000e+00
5.798474415235505219e+00,1.152487365589021540e+00,1.000000000000000000e+00
3.756021400026968493e+00,2.126894789886260018e+00,1.000000000000000000e+00
6.526064737438631802e+00,2.147747496772570930e+00,1.000000000000000000e+00
-3.924568365103164425e+00,8.593640805432961827e+00,0.000000000000000000e+00
3.032395601666873830e+00,2.157803542473036185e+00,1.000000000000000000e+00
4.890371686573978138e+00,2.319617893437707856e+00,1.000000000000000000e+00
-2.969836394012537628e+00,1.007140835441723681e+01,0.000000000000000000e+00
3.649342511097413144e+00,1.406871954337959973e+00,1.000000000000000000e+00
6.505653347372858164e+00,2.447002604852519525e+00,1.000000000000000000e+00
5.782701650743121924e+00,2.725102716627506361e+00,1.000000000000000000e+00
4.193363884161080080e+00,2.829568478264204323e+00,1.000000000000000000e+00
4.478593124562092243e+00,2.377220540755270228e+00,1.000000000000000000e+00
4.739530201315742985e+00,1.469694029824532677e+00,1.000000000000000000e+00
-2.581207744633084111e+00,1.001781902609034525e+01,0.000000000000000000e+00
3.720454601994298116e+00,3.523104088958271429e+00,1.000000000000000000e+00
-2.522694847790684314e+00,7.956575199242420737e+00,0.000000000000000000e+00
4.932951309526782957e+00,1.258818265914364076e+00,1.000000000000000000e+00
-3.110904235282147212e+00,1.086656431270725953e+01,0.000000000000000000e+00
-1.686652710949561040e+00,7.793442478227299297e+00,0.000000000000000000e+00
-3.417221698573960964e+00,7.601982426863029829e+00,0.000000000000000000e+00
3.577575122501996496e+00,2.446762114575913749e+00,1.000000000000000000e+00
-2.624845905440990723e+00,8.713182432609032801e+00,0.000000000000000000e+00
-3.211250716930102556e+00,8.686623981600552824e+00,0.000000000000000000e+00
-5.128942727142494107e+00,9.836188632573545476e+00,0.000000000000000000e+00
4.605167066522858121e+00,8.044916463211999602e-01,1.000000000000000000e+00
-3.522028743387173755e+00,9.328533460793595466e+00,0.000000000000000000e+00
6.042673147164200564e+00,5.713186211484511112e-01,1.000000000000000000e+00
-3.109836312971554939e+00,8.722592378405044755e+00,0.000000000000000000e+00
-2.185113653657955179e+00,8.629203847782004999e+00,0.000000000000000000e+00
-3.186119623358708797e+00,9.625962417039190200e+00,0.000000000000000000e+00
-2.851912139579519501e+00,8.212008858976702186e+00,0.000000000000000000e+00
-1.478198100556799233e+00,9.945566247314520325e+00,0.000000000000000000e+00
-1.593795505350676045e+00,9.343037237858005994e+00,0.000000000000000000e+00
3.793085118159696290e+00,4.583224592548673648e-01,1.000000000000000000e+00
-2.728869510890262085e+00,9.371398699710068669e+00,0.000000000000000000e+00
-2.504084166410289303e+00,8.779698994823174729e+00,0.000000000000000000e+00
